epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,610.877,1.85154,0.99761,1.50561,0.6405,0.79621,0.74626,0.304,1.88849,0.99785,1.59217,0.0001684,0.0001684,0.0001684
86,617.992,1.79947,0.99787,1.52409,0.62089,0.81695,0.73809,0.32076,1.86702,1.0209,1.58951,0.0001585,0.0001585,0.0001585
87,625.169,1.83496,0.99365,1.45531,0.63259,0.82119,0.7351,0.32278,1.86132,1.02681,1.5886,0.0001486,0.0001486,0.0001486
88,632.15,1.79743,0.98906,1.48512,0.63943,0.78114,0.7194,0.3073,1.86131,1.03186,1.59247,0.0001387,0.0001387,0.0001387
89,638.948,1.80763,0.99734,1.43906,0.69834,0.70918,0.71413,0.31263,1.86225,1.03739,1.59094,0.0001288,0.0001288,0.0001288
90,645.99,1.82842,1.00793,1.50101,0.71651,0.74196,0.73693,0.31754,1.87464,1.0309,1.5954,0.0001189,0.0001189,0.0001189
91,653.932,1.7747,1.13148,1.56197,0.72927,0.75449,0.75174,0.32358,1.87649,1.03683,1.59434,0.000109,0.000109,0.000109
92,661.281,1.78365,1.09428,1.5555,0.79685,0.72223,0.78836,0.33982,1.85644,1.03319,1.58636,9.91e-05,9.91e-05,9.91e-05
93,668.437,1.77852,1.04083,1.50751,0.8129,0.71965,0.7831,0.34218,1.86302,1.03643,1.58792,8.92e-05,8.92e-05,8.92e-05
94,675.909,1.77841,1.04131,1.53728,0.78086,0.73187,0.79422,0.35552,1.8865,1.05065,1.5899,7.93e-05,7.93e-05,7.93e-05
95,683.07,1.75426,1.05992,1.55539,0.78526,0.72106,0.79273,0.3585,1.89336,1.06099,1.58933,6.94e-05,6.94e-05,6.94e-05
96,690.092,1.76283,1.03915,1.58499,0.72725,0.7572,0.79739,0.36603,1.89414,1.05388,1.58489,5.95e-05,5.95e-05,5.95e-05
97,697.23,1.77221,1.00599,1.55921,0.72837,0.75591,0.79339,0.35888,1.88639,1.0478,1.57986,4.96e-05,4.96e-05,4.96e-05
98,704.082,1.78064,1.01175,1.56693,0.70728,0.75711,0.79385,0.35717,1.8789,1.03826,1.57413,3.97e-05,3.97e-05,3.97e-05
99,711.009,1.74353,1.008,1.52487,0.71043,0.74084,0.79234,0.36005,1.87606,1.03384,1.57216,2.98e-05,2.98e-05,2.98e-05
100,717.896,1.76867,0.97955,1.531,0.69119,0.75245,0.77773,0.36922,1.87034,1.0286,1.56987,1.99e-05,1.99e-05,1.99e-05
